年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,營業費用,營業利益（損失）,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,營業外收入及支出,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,會計原則變動之累積影響數,稀釋每股盈餘,換算匯率,換算匯率參考依據
2007/01,1605.0,華新,33873274.0,31393359.0,2479915.0,712713.0,1767202.0,1310160.0,330732.0,979428.0,0.0,0.0,0.0,979428.0,1003315.0,0.0,-23887.0,0.31,-457042.0,,,,,,,,,,,
2007/01,2308.0,台達電,27170559.0,21253516.0,5917043.0,2619388.0,3297655.0,3929189.0,453347.0,3475842.0,0.0,0.0,0.0,3475842.0,3158334.0,0.0,317508.0,1.6,631534.0,,,,,,,,,,,
2007/01,2880.0,華南金,,,,4258350.0,,3225962.0,845896.0,2380066.0,0.0,0.0,,2380066.0,2380052.0,,14.0,0.4,,12691346.0,6673034.0,6018312.0,3156349.0,9174661.0,1559479.0,-130870.0,0.0,0.0,,
2007/01,2881.0,富邦金,,,,6250495.0,,4523936.0,911819.0,3612117.0,0.0,0.0,,3612117.0,3449864.0,,162253.0,0.45,,13992415.0,6778551.0,7213864.0,28958332.0,36172196.0,2304028.0,-23093737.0,0.0,0.0,,
2007/01,2882.0,國泰金,,,,12235548.0,,11608134.0,1548037.0,10060097.0,0.0,0.0,,10060097.0,10001641.0,,58456.0,1.1,,27025514.0,5270947.0,21754567.0,36554468.0,58309035.0,985266.0,-33480087.0,0.0,0.0,,
2007/01,2883.0,開發金,,,,1532081.0,,3335172.0,87698.0,3247474.0,0.0,0.0,,3247474.0,3209404.0,,38070.0,0.29,,1696012.0,932128.0,763884.0,4096000.0,4859884.0,-7369.0,0.0,0.0,0.0,,
2007/01,2884.0,玉山金控,,,,1950391.0,,1008998.0,151204.0,857794.0,0.0,0.0,,857794.0,857752.0,,42.0,0.26,,5189596.0,2885983.0,2303613.0,655776.0,2959389.0,0.0,0.0,0.0,0.0,,
2007/01,2885.0,元大金,,,,1994282.0,,936600.0,151542.0,785058.0,0.0,0.0,,785058.0,785601.0,,-543.0,0.25,,3456631.0,1637837.0,1818794.0,1352088.0,3170882.0,240000.0,0.0,0.0,0.0,,
2007/01,2886.0,兆豐金,,,,4655687.0,,3521271.0,649742.0,2871529.0,0.0,0.0,,2871529.0,2873472.0,,-1943.0,0.26,,16263811.0,10496654.0,5767157.0,5184314.0,10951471.0,2523270.0,-251243.0,0.0,0.0,,
2007/01,2887.0,台新金控,,,,7447417.0,,5131769.0,1307814.0,3823955.0,0.0,0.0,,3823955.0,2181995.0,,1641960.0,0.32,,19174724.0,9999074.0,9175650.0,5642794.0,14818444.0,2239258.0,0.0,0.0,0.0,,
2007/01,2888.0,新光金,,,,6362048.0,,8451439.0,1059154.0,7392285.0,0.0,0.0,,7392285.0,7363135.0,,29150.0,1.56,,12258694.0,1411505.0,10847189.0,23359336.0,34206525.0,297158.0,-19095880.0,0.0,0.0,,
2007/01,2889.0,國票金控,,,,455894.0,,469743.0,55957.0,413786.0,0.0,0.0,,413786.0,338764.0,,75022.0,0.16,,901040.0,748713.0,152327.0,773310.0,925637.0,0.0,0.0,0.0,0.0,,
2007/01,2890.0,永豐金控,,,,4546924.0,,2667110.0,623605.0,2043505.0,0.0,0.0,,2043505.0,2044813.0,,-1308.0,0.3,,11741979.0,7118233.0,4623746.0,4179266.0,8803012.0,1588978.0,0.0,0.0,0.0,,
2007/01,2891.0,中信金,,,,7404738.0,,3730628.0,1144497.0,2586131.0,0.0,0.0,,2586131.0,2583473.0,,2658.0,0.29,,16024801.0,7649920.0,8374881.0,4225212.0,12600093.0,1464727.0,0.0,0.0,0.0,,
2007/01,2892.0,第一金控,,,,3868992.0,,3755699.0,800855.0,2954844.0,0.0,0.0,,2954844.0,2954844.0,,0.0,0.49,,11557599.0,6275506.0,5282093.0,3737092.0,9019185.0,1394494.0,0.0,0.0,0.0,,
2007/01,3701.0,大眾投控,15679852.0,14750239.0,929613.0,1238972.0,-309359.0,-299309.0,12322.0,-311631.0,0.0,0.0,0.0,-311631.0,-238970.0,0.0,-72661.0,-1.24,10050.0,,,,,,,,,,,
2007/01,3702.0,大聯大,28022261.0,26242431.0,1779830.0,1022790.0,757040.0,537264.0,123565.0,413699.0,0.0,0.0,0.0,413699.0,395024.0,0.0,18675.0,0.62,-219776.0,,,,,,,,,,,
2007/01,4904.0,遠傳,15776383.0,8260048.0,7516335.0,3818418.0,3697917.0,3636547.0,768222.0,2868325.0,0.0,0.0,0.0,2868325.0,2895666.0,0.0,-27341.0,0.75,-61370.0,,,,,,,,,,,
2007/01,5607.0,遠雄港,191854.0,149981.0,41873.0,112088.0,-70215.0,-103436.0,0.0,-103436.0,0.0,0.0,0.0,-103436.0,-65574.0,0.0,-37862.0,-0.94,-33221.0,,,,,,,,,,,
2007/01,9102.0,東亞科,2626927.0,2389547.0,237380.0,324315.0,-86935.0,-82355.0,3337.0,-85692.0,0.0,0.0,,-85692.0,-80872.0,,-4820.0,-0.18,4580.0,,,,,,,,0.0,,21.81,資產負債表日台銀新加坡收盤價買賣平均匯率
2007/01,9105.0,泰金寶,20017277.0,19014698.0,1002579.0,309358.0,693221.0,676515.0,7275.0,669240.0,0.0,0.0,,669240.0,669240.0,,0.0,0.17,-16706.0,,,,,,,,0.0,,0.943:1(THB:NT),依財報日之匯率
