年,季,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2013,03,2880,華南金,17125660,9416507,26542167,2587797,220180,14711460,9022730,-1411647,7611083,--,7611083,-489042,7122041,7611038,--,45,7121996,--,45,0.84
2013,03,2881,富邦金,53514775,227518068,281032843,3816106,213622993,31217064,32376680,-5512687,26863993,--,26863993,-47928549,-21064556,26878703,--,-14710,-21049846,--,-14710,2.76
2013,03,2882,國泰金,85928240,170755103,256683343,1288582,187590369,39112921,28691471,-1912439,26779032,0,26779032,-22709889,4069143,26546808,--,232224,3779729,--,289414,2.32
2013,03,2883,開發金,3730085,13811676,17541761,224182,--,10462673,6854906,-468385,6386521,--,6386521,405267,6791788,6271979,--,114542,6638952,--,152836,0.43
2013,03,2884,玉山金控,9687115,10339622,20026737,1288285,0,10759099,7979353,-1408684,6570669,0,6570669,378242,6948911,6566327,--,4342,6954071,--,-5160,1.19
2013,03,2885,元大金,6987259,14408054,21395313,506605,--,14175390,6713318,-892275,5821043,--,5821043,-655563,5165480,5547282,--,273761,4851419,--,314061,0.56
2013,03,2886,兆豐金,22862859,17595957,40458816,2796231,-122733,15768641,22016677,-3804407,18212270,--,18212270,-470700,17741570,18202374,--,9896,17724685,--,16885,1.59
2013,03,2887,台新金控,23236972,19284296,42521268,-1072236,--,22632224,20961280,-4058708,16902572,--,16902572,-2311674,14590898,11534022,--,5368550,9766458,--,4824440,1.45
2013,03,2888,新光金,41093260,64594032,105687292,531958,75799029,16137057,13219248,-1862891,11356357,--,11356357,-1497673,9858684,10968554,--,387803,9360439,--,498245,1.24
2013,03,2889,國票金控,1092047,1817713,2909760,18307,--,1844195,1047258,-183805,863453,--,863453,-322620,540833,865557,--,-2104,543058,--,-2225,0.34
2013,03,2890,永豐金控,11849615,12362410,24212025,748730,--,13646891,9816404,-1483240,8333164,0,8333164,1745417,10078581,8333163,--,1,10078580,--,1,1.02
2013,03,2891,中信金,24347820,60087305,84435125,950081,33475812,28991150,21018082,-2742132,18275950,--,18275950,-8651222,9624728,18270216,--,5734,9629606,--,-4878,1.29
2013,03,2892,第一金控,19219097,7238826,26457923,1581405,-593942,14034713,11435747,-2142802,9292945,0,9292945,127939,9420884,9245274,--,47671,9475487,--,-54603,1.07
2013,03,5880,合庫金,20404689,6986503,27391192,2060124,978577,16197851,8154640,-1259637,6895003,--,6895003,-2287945,4607058,6851319,--,43684,5012682,--,-405624,0.81
